LOCALITY_NAME,POSTCODE,STATE_ABBREVIATION,full_suburb
Kwolyin,6385,WA,"Kwolyin, WA, 6385"
Kyabram,3620,VIC,"Kyabram, VIC, 3620"
Kyabram South,3620,VIC,"Kyabram South, VIC, 3620"
Kyalite,2715,NSW,"Kyalite, NSW, 2715"
Kyancutta,5651,SA,"Kyancutta, SA, 5651"
Kyarran,2460,NSW,"Kyarran, NSW, 2460"
Kybeyan,2631,NSW,"Kybeyan, NSW, 2631"
Kybong,4570,QLD,"Kybong, QLD, 4570"
Kybunga,5453,SA,"Kybunga, SA, 5453"
Kybybolite,5262,SA,"Kybybolite, SA, 5262"
Kyeamba,2650,NSW,"Kyeamba, NSW, 2650"
Kyeema,5172,SA,"Kyeema, SA, 5172"
Kyeemagh,2216,NSW,"Kyeemagh, NSW, 2216"
Kyle Bay,2221,NSW,"Kyle Bay, NSW, 2221"
Kyneton,3444,VIC,"Kyneton, VIC, 3444"
Kyneton South,3444,VIC,"Kyneton South, VIC, 3444"
Kynnumboon,2484,NSW,"Kynnumboon, NSW, 2484"
Kynuna,4823,QLD,"Kynuna, QLD, 4823"
Kyogle,2474,NSW,"Kyogle, NSW, 2474"
Kyoomba,4380,QLD,"Kyoomba, QLD, 4380"
Kyvalley,3621,VIC,"Kyvalley, VIC, 3621"
La Perouse,2036,NSW,"La Perouse, NSW, 2036"
Laanecoorie,3463,VIC,"Laanecoorie, VIC, 3463"
Laang,3265,VIC,"Laang, VIC, 3265"
Labertouche,3816,VIC,"Labertouche, VIC, 3816"
Labrador,4215,QLD,"Labrador, QLD, 4215"
Laceby,3678,VIC,"Laceby, VIC, 3678"
Laceys Creek,4521,QLD,"Laceys Creek, QLD, 4521"
Lachlan,7140,TAS,"Lachlan, TAS, 7140"
Lackrana,7255,TAS,"Lackrana, TAS, 7255"
Lacmalac,2720,NSW,"Lacmalac, NSW, 2720"
Lade Vale,2581,NSW,"Lade Vale, NSW, 2581"
Lady Barron,7255,TAS,"Lady Barron, TAS, 7255"
Ladys Pass,3523,VIC,"Ladys Pass, VIC, 3523"
Ladysmith,2652,NSW,"Ladysmith, NSW, 2652"
Laen,3480,VIC,"Laen, VIC, 3480"
Laen East,3480,VIC,"Laen East, VIC, 3480"
Laen North,3480,VIC,"Laen North, VIC, 3480"
Laffer,5267,SA,"Laffer, SA, 5267"
Laffing Waters,2795,NSW,"Laffing Waters, NSW, 2795"
Laggan,2583,NSW,"Laggan, NSW, 2583"
Laglan,4721,QLD,"Laglan, QLD, 4721"
Lagoon Grass,2480,NSW,"Lagoon Grass, NSW, 2480"
Lagoon Pocket,4570,QLD,"Lagoon Pocket, QLD, 4570"
Lagrange,6725,WA,"Lagrange, WA, 6725"
Laguna,2325,NSW,"Laguna, NSW, 2325"
Laguna Quays,4800,QLD,"Laguna Quays, QLD, 4800"
Lah,3393,VIC,"Lah, VIC, 3393"
Laharum,3401,VIC,"Laharum, VIC, 3401"
Laidley,4341,QLD,"Laidley, QLD, 4341"
Laidley Creek West,4341,QLD,"Laidley Creek West, QLD, 4341"
Laidley Heights,4341,QLD,"Laidley Heights, QLD, 4341"
Laidley North,4341,QLD,"Laidley North, QLD, 4341"
Laidley South,4341,QLD,"Laidley South, QLD, 4341"
Lajamanu,852,NT,"Lajamanu, NT, 852"
Lake Albert,2650,NSW,"Lake Albert, NSW, 2650"
Lake Alexandrina,5259,SA,"Lake Alexandrina, SA, 5259"
Lake Argyle,6743,WA,"Lake Argyle, WA, 6743"
Lake Austin,6640,WA,"Lake Austin, WA, 6640"
Lake Barrine,4884,QLD,"Lake Barrine, QLD, 4884"
Lake Bathurst,2580,NSW,"Lake Bathurst, NSW, 2580"
Lake Bennett,822,NT,"Lake Bennett, NT, 822"
Lake Biddy,6355,WA,"Lake Biddy, WA, 6355"
Lake Boga,3584,VIC,"Lake Boga, VIC, 3584"
Lake Bolac,3351,VIC,"Lake Bolac, VIC, 3351"
Lake Borumba,4570,QLD,"Lake Borumba, QLD, 4570"
Lake Brewster,2675,NSW,"Lake Brewster, NSW, 2675"
Lake Brown,6479,WA,"Lake Brown, WA, 6479"
Lake Bunga,3909,VIC,"Lake Bunga, VIC, 3909"
Lake Burrendong,2820,NSW,"Lake Burrendong, NSW, 2820"
Lake Camm,6355,WA,"Lake Camm, WA, 6355"
Lake Cargelligo,2672,NSW,"Lake Cargelligo, NSW, 2672"
Lake Carlet,5238,SA,"Lake Carlet, SA, 5238"
Lake Cathie,2445,NSW,"Lake Cathie, NSW, 2445"
Lake Charm,3581,VIC,"Lake Charm, VIC, 3581"
Lake Clarendon,4343,QLD,"Lake Clarendon, QLD, 4343"
Lake Clifton,6215,WA,"Lake Clifton, WA, 6215"
Lake Condah,3303,VIC,"Lake Condah, VIC, 3303"
Lake Conjola,2539,NSW,"Lake Conjola, NSW, 2539"
Lake Coogee,6166,WA,"Lake Coogee, WA, 6166"
Lake Cowal,2671,NSW,"Lake Cowal, NSW, 2671"
Lake Eacham,4884,QLD,"Lake Eacham, QLD, 4884"
Lake Eildon,3713,VIC,"Lake Eildon, VIC, 3713"
Lake Everard,5717,SA,"Lake Everard, SA, 5717"
Lake Fyans,3381,VIC,"Lake Fyans, VIC, 3381"
Lake Gardens,3355,VIC,"Lake Gardens, VIC, 3355"
Lake George,2581,NSW,"Lake George, NSW, 2581"
Lake Gilles,5611,SA,"Lake Gilles, SA, 5611"
Lake Goldsmith,3373,VIC,"Lake Goldsmith, VIC, 3373"
Lake Grace,6353,WA,"Lake Grace, WA, 6353"
Lake Haven,2263,NSW,"Lake Haven, NSW, 2263"
Lake Heights,2502,NSW,"Lake Heights, NSW, 2502"
Lake Hiawatha,2462,NSW,"Lake Hiawatha, NSW, 2462"
Lake Hinds,6603,WA,"Lake Hinds, WA, 6603"
Lake Hume Village,3691,NSW,"Lake Hume Village, NSW, 3691"
Lake Illawarra,2528,NSW,"Lake Illawarra, NSW, 2528"
Lake Innes,2446,NSW,"Lake Innes, NSW, 2446"
Lake Jasper,6260,WA,"Lake Jasper, WA, 6260"
Lake King,6356,WA,"Lake King, WA, 6356"
Lake Leake,7210,TAS,"Lake Leake, TAS, 7210"
Lake Lonsdale,3381,VIC,"Lake Lonsdale, VIC, 3381"
Lake Macdonald,4563,QLD,"Lake Macdonald, QLD, 4563"
Lake Mackay,872,NT,"Lake Mackay, NT, 872"
Lake Macquarie,2283,NSW,"Lake Macquarie, NSW, 2283"
Lake Manchester,4306,QLD,"Lake Manchester, QLD, 4306"
Lake Margarette,6475,WA,"Lake Margarette, WA, 6475"
Lake Marmal,3525,VIC,"Lake Marmal, VIC, 3525"
Lake Mary,4703,QLD,"Lake Mary, QLD, 4703"
Lake Meran,3579,VIC,"Lake Meran, VIC, 3579"
Lake Monduran,4671,QLD,"Lake Monduran, QLD, 4671"
Lake Muir,6258,WA,"Lake Muir, WA, 6258"
Lake Mundi,3312,VIC,"Lake Mundi, VIC, 3312"
Lake Munmorah,2259,NSW,"Lake Munmorah, NSW, 2259"
Lake Ninan,6603,WA,"Lake Ninan, WA, 6603"
Lake Plains,5255,SA,"Lake Plains, SA, 5255"
Lake Powell,3597,VIC,"Lake Powell, VIC, 3597"
Lake Proserpine,4800,QLD,"Lake Proserpine, QLD, 4800"
Lake Rowan,3727,VIC,"Lake Rowan, VIC, 3727"
Lake St Clair,7140,TAS,"Lake St Clair, TAS, 7140"
Lake Tabourie,2539,NSW,"Lake Tabourie, NSW, 2539"
Lake Tinaroo,4872,QLD,"Lake Tinaroo, QLD, 4872"
Lake Toolbrunup,6320,WA,"Lake Toolbrunup, WA, 6320"
Lake Torrens Station,5713,SA,"Lake Torrens Station, SA, 5713"
Lake Tyers,3887,VIC,"Lake Tyers, VIC, 3887"
Lake Tyers Beach,3909,VIC,"Lake Tyers Beach, VIC, 3909"
Lake Tyrrell,3533,VIC,"Lake Tyrrell, VIC, 3533"
Lake View,5555,SA,"Lake View, SA, 5555"
Lake Wendouree,3350,VIC,"Lake Wendouree, VIC, 3350"
Lake Wivenhoe,4311,QLD,"Lake Wivenhoe, QLD, 4311"
Lake Wongan,3373,VIC,"Lake Wongan, VIC, 3373"
Lake Wyangan,2680,NSW,"Lake Wyangan, NSW, 2680"
Lakefield,4892,QLD,"Lakefield, QLD, 4892"
Lakeland,4871,QLD,"Lakeland, QLD, 4871"
Lakelands,2282,NSW,"Lakelands, NSW, 2282"
Lakelands,6180,WA,"Lakelands, WA, 6180"
Lakemba,2195,NSW,"Lakemba, NSW, 2195"
Lakes Creek,4701,QLD,"Lakes Creek, QLD, 4701"
Lakes Entrance,3909,VIC,"Lakes Entrance, VIC, 3909"
Lakeside,4621,QLD,"Lakeside, QLD, 4621"
Lakesland,2572,NSW,"Lakesland, NSW, 2572"
Lakewood,2443,NSW,"Lakewood, NSW, 2443"
Lakewood,6431,WA,"Lakewood, WA, 6431"
Lal Lal,3352,VIC,"Lal Lal, VIC, 3352"
Lalalty,3644,NSW,"Lalalty, NSW, 3644"
Lalbert,3542,VIC,"Lalbert, VIC, 3542"
Lalla,7267,TAS,"Lalla, TAS, 7267"
Lalor,3075,VIC,"Lalor, VIC, 3075"
Lalor Park,2147,NSW,"Lalor Park, NSW, 2147"
Lamb Island,4184,QLD,"Lamb Island, QLD, 4184"
Lamb Range,4870,QLD,"Lamb Range, QLD, 4870"
Lambells Lagoon,822,NT,"Lambells Lagoon, NT, 822"
Lambina,872,SA,"Lambina, SA, 872"
Lambs Valley,2335,NSW,"Lambs Valley, NSW, 2335"
Lambs Valley,2370,NSW,"Lambs Valley, NSW, 2370"
Lambton,2299,NSW,"Lambton, NSW, 2299"
Lameroo,5302,SA,"Lameroo, SA, 5302"
Lamington,4285,QLD,"Lamington, QLD, 4285"
Lamington,6430,WA,"Lamington, WA, 6430"
Lammermoor,4703,QLD,"Lammermoor, QLD, 4703"
Lamplough,3352,VIC,"Lamplough, VIC, 3352"
Lancaster,3620,VIC,"Lancaster, VIC, 3620"
Lance Creek,3995,VIC,"Lance Creek, VIC, 3995"
Lancefield,3435,VIC,"Lancefield, VIC, 3435"
Lancelin,6044,WA,"Lancelin, WA, 6044"
Landers Shoot,4555,QLD,"Landers Shoot, QLD, 4555"
Landervale,2652,NSW,"Landervale, NSW, 2652"
Landsborough,3384,VIC,"Landsborough, VIC, 3384"
Landsborough,4550,QLD,"Landsborough, QLD, 4550"
Landsborough West,3384,VIC,"Landsborough West, VIC, 3384"
Landsdale,6065,WA,"Landsdale, WA, 6065"
Lane Cove,2066,NSW,"Lane Cove, NSW, 2066"
Lane Cove North,2066,NSW,"Lane Cove North, NSW, 2066"
Lane Cove West,2066,NSW,"Lane Cove West, NSW, 2066"
Lanefield,4340,QLD,"Lanefield, QLD, 4340"
Lanena,7275,TAS,"Lanena, TAS, 7275"
Lang Lang,3984,VIC,"Lang Lang, VIC, 3984"
Lang Lang East,3984,VIC,"Lang Lang East, VIC, 3984"
Langdons Hill,3363,VIC,"Langdons Hill, VIC, 3363"
Lange,6330,WA,"Lange, WA, 6330"
Langford,6147,WA,"Langford, WA, 6147"
Langhorne Creek,5255,SA,"Langhorne Creek, SA, 5255"
Langi Kal Kal,3352,VIC,"Langi Kal Kal, VIC, 3352"
Langi Logan,3377,VIC,"Langi Logan, VIC, 3377"
Langkoop,3318,VIC,"Langkoop, VIC, 3318"
Langlands,4410,QLD,"Langlands, QLD, 4410"
Langley,3444,VIC,"Langley, VIC, 3444"
Langley,4630,QLD,"Langley, QLD, 4630"
Langley Vale,2426,NSW,"Langley Vale, NSW, 2426"
Langlo,4470,QLD,"Langlo, QLD, 4470"
Langs Landing,5353,SA,"Langs Landing, SA, 5353"
Langsborough,3971,VIC,"Langsborough, VIC, 3971"
Langshaw,4570,QLD,"Langshaw, QLD, 4570"
Langwarrin,3910,VIC,"Langwarrin, VIC, 3910"
Langwarrin South,3911,VIC,"Langwarrin South, VIC, 3911"
Lanitza,2460,NSW,"Lanitza, NSW, 2460"
Lankeys Creek,2644,NSW,"Lankeys Creek, NSW, 2644"
Lannercost,4850,QLD,"Lannercost, QLD, 4850"
Lansdowne,2163,NSW,"Lansdowne, NSW, 2163"
Lansdowne,2430,NSW,"Lansdowne, NSW, 2430"
Lansdowne,4478,QLD,"Lansdowne, QLD, 4478"
Lansdowne,850,NT,"Lansdowne, NT, 850"
Lansdowne Forest,2430,NSW,"Lansdowne Forest, NSW, 2430"
Lanskey,4825,QLD,"Lanskey, QLD, 4825"
Lansvale,2166,NSW,"Lansvale, NSW, 2166"
Lapoinya,7325,TAS,"Lapoinya, TAS, 7325"
Lapstone,2773,NSW,"Lapstone, NSW, 2773"
Lara,3212,VIC,"Lara, VIC, 3212"
Laramba,872,NT,"Laramba, NT, 872"
Larapinta,4110,QLD,"Larapinta, QLD, 4110"
Larapinta,875,NT,"Larapinta, NT, 875"
Laravale,4285,QLD,"Laravale, QLD, 4285"
Larbert,2622,NSW,"Larbert, NSW, 2622"
Lardner,3821,VIC,"Lardner, VIC, 3821"
Largs,2320,NSW,"Largs, NSW, 2320"
Largs Bay,5016,SA,"Largs Bay, SA, 5016"
Largs North,5016,SA,"Largs North, SA, 5016"
Lark Hill,4306,QLD,"Lark Hill, QLD, 4306"
Larnook,2480,NSW,"Larnook, NSW, 2480"
Larpent,3249,VIC,"Larpent, VIC, 3249"
Larrakeyah,820,NT,"Larrakeyah, NT, 820"
Larralea,3325,VIC,"Larralea, VIC, 3325"
Larras Lee,2866,NSW,"Larras Lee, NSW, 2866"
Larrimah,852,NT,"Larrimah, NT, 852"
Lascelles,3487,VIC,"Lascelles, VIC, 3487"
Latham,2615,ACT,"Latham, ACT, 2615"
Latham,6616,WA,"Latham, WA, 6616"
Lathlain,6100,WA,"Lathlain, WA, 6100"
Latrobe,7307,TAS,"Latrobe, TAS, 7307"
Lauderdale,7021,TAS,"Lauderdale, TAS, 7021"
Laughtondale,2775,NSW,"Laughtondale, NSW, 2775"
Launceston,7250,TAS,"Launceston, TAS, 7250"
Launching Place,3139,VIC,"Launching Place, VIC, 3139"
Laura,4892,QLD,"Laura, QLD, 4892"
Laura,5480,SA,"Laura, SA, 5480"
Laura Bay,5680,SA,"Laura Bay, SA, 5680"
Laurel Hill,2649,NSW,"Laurel Hill, NSW, 2649"
Laurie Park,5271,SA,"Laurie Park, SA, 5271"
Laurieton,2443,NSW,"Laurieton, NSW, 2443"
Lauriston,3444,VIC,"Lauriston, VIC, 3444"
Lavadia,2462,NSW,"Lavadia, NSW, 2462"
Lavelle,4357,QLD,"Lavelle, QLD, 4357"
Lavender Bay,2060,NSW,"Lavender Bay, NSW, 2060"
Lavers Hill,3238,VIC,"Lavers Hill, VIC, 3238"
Laverstock,2582,NSW,"Laverstock, NSW, 2582"
Laverton,3028,VIC,"Laverton, VIC, 3028"
Laverton,6440,WA,"Laverton, WA, 6440"
Laverton North,3026,VIC,"Laverton North, VIC, 3026"
Lavington,2641,NSW,"Lavington, NSW, 2641"
Lawes,4343,QLD,"Lawes, QLD, 4343"
Lawgi Dawes,4716,QLD,"Lawgi Dawes, QLD, 4716"
Lawitta,7140,TAS,"Lawitta, TAS, 7140"
Lawler,3480,VIC,"Lawler, VIC, 3480"
Lawloit,3418,VIC,"Lawloit, VIC, 3418"
Lawn Hill,4825,QLD,"Lawn Hill, QLD, 4825"
Lawnton,4501,QLD,"Lawnton, QLD, 4501"
Lawrence,2460,NSW,"Lawrence, NSW, 2460"
Lawrence,3364,VIC,"Lawrence, VIC, 3364"
Lawson,2617,ACT,"Lawson, ACT, 2617"
Lawson,2783,NSW,"Lawson, NSW, 2783"
Leabrook,5068,SA,"Leabrook, SA, 5068"
Leadville,2844,NSW,"Leadville, NSW, 2844"
Leafdale,4606,QLD,"Leafdale, QLD, 4606"
Leaghur,3537,VIC,"Leaghur, VIC, 3537"
Leanyer,812,NT,"Leanyer, NT, 812"
Learmonth,3352,VIC,"Learmonth, VIC, 3352"
Learmonth,6707,WA,"Learmonth, WA, 6707"
Leasingham,5452,SA,"Leasingham, SA, 5452"
Leawood Gardens,5150,SA,"Leawood Gardens, SA, 5150"
Lebrina,7254,TAS,"Lebrina, TAS, 7254"
Leconfield,2335,NSW,"Leconfield, NSW, 2335"
Leda,6170,WA,"Leda, WA, 6170"
Ledcourt,3385,VIC,"Ledcourt, VIC, 3385"
Ledge Point,6043,WA,"Ledge Point, WA, 6043"
Lee Creek,2849,NSW,"Lee Creek, NSW, 2849"
Lee Point,810,NT,"Lee Point, NT, 810"
Leederville,6007,WA,"Leederville, WA, 6007"
Leeka,7255,TAS,"Leeka, TAS, 7255"
Leeman,6514,WA,"Leeman, WA, 6514"
Leeming,6149,WA,"Leeming, WA, 6149"
Leeton,2705,NSW,"Leeton, NSW, 2705"
Leets Vale,2775,NSW,"Leets Vale, NSW, 2775"
Leeuwin,6290,WA,"Leeuwin, WA, 6290"
Leeville,2470,NSW,"Leeville, NSW, 2470"
Lefroy,7252,TAS,"Lefroy, TAS, 7252"
Lefthand Branch,4343,QLD,"Lefthand Branch, QLD, 4343"
Legana,7277,TAS,"Legana, TAS, 7277"
Legerwood,7263,TAS,"Legerwood, TAS, 7263"
Legume,2476,NSW,"Legume, NSW, 2476"
Leichardt,3516,VIC,"Leichardt, VIC, 3516"
Leichhardt,2040,NSW,"Leichhardt, NSW, 2040"
Leichhardt,4305,QLD,"Leichhardt, QLD, 4305"
Leigh Creek,3352,VIC,"Leigh Creek, VIC, 3352"
Leigh Creek,5731,SA,"Leigh Creek, SA, 5731"
Leigh Creek Station,5731,SA,"Leigh Creek Station, SA, 5731"
Leighton,5417,SA,"Leighton, SA, 5417"
Leinster,6437,WA,"Leinster, WA, 6437"
Leitchville,3567,VIC,"Leitchville, VIC, 3567"
Leith,7315,TAS,"Leith, TAS, 7315"
Lemington,2330,NSW,"Lemington, NSW, 2330"
Lemnos,3631,VIC,"Lemnos, VIC, 3631"
Lemon Tree,2259,NSW,"Lemon Tree, NSW, 2259"
Lemon Tree Passage,2319,NSW,"Lemon Tree Passage, NSW, 2319"
Lemont,7120,TAS,"Lemont, TAS, 7120"
Lemontree,4357,QLD,"Lemontree, QLD, 4357"
Len Waters Estate,2171,NSW,"Len Waters Estate, NSW, 2171"
Lenaghan,2322,NSW,"Lenaghan, NSW, 2322"
Lenah Valley,7008,TAS,"Lenah Valley, TAS, 7008"
Leneva,3691,VIC,"Leneva, VIC, 3691"
Lennard Brook,6503,WA,"Lennard Brook, WA, 6503"
Lennox Head,2478,NSW,"Lennox Head, NSW, 2478"
Lenswood,5240,SA,"Lenswood, SA, 5240"
Leonards Hill,3461,VIC,"Leonards Hill, VIC, 3461"
Leonay,2750,NSW,"Leonay, NSW, 2750"
Leongatha,3953,VIC,"Leongatha, VIC, 3953"
Leongatha North,3953,VIC,"Leongatha North, VIC, 3953"
Leongatha South,3953,VIC,"Leongatha South, VIC, 3953"
Leonora,6438,WA,"Leonora, WA, 6438"
Leopold,3224,VIC,"Leopold, VIC, 3224"
Leppington,2179,NSW,"Leppington, NSW, 2179"
Lerderderg,3458,VIC,"Lerderderg, VIC, 3458"
Lerida,2581,NSW,"Lerida, NSW, 2581"
Leschenault,6233,WA,"Leschenault, WA, 6233"
Leslie,4370,QLD,"Leslie, QLD, 4370"
Leslie Dam,4370,QLD,"Leslie Dam, QLD, 4370"
Leslie Manor,3260,VIC,"Leslie Manor, VIC, 3260"
Leslie Vale,7054,TAS,"Leslie Vale, TAS, 7054"
Lesmurdie,6076,WA,"Lesmurdie, WA, 6076"
Lethbridge,3332,VIC,"Lethbridge, VIC, 3332"
Lethbridge Park,2770,NSW,"Lethbridge Park, NSW, 2770"
Lethebrook,4800,QLD,"Lethebrook, QLD, 4800"
Leumeah,2560,NSW,"Leumeah, NSW, 2560"
Leura,2780,NSW,"Leura, NSW, 2780"
Levendale,7120,TAS,"Levendale, TAS, 7120"
Levenstrath,2460,NSW,"Levenstrath, NSW, 2460"
Lewinsbrook,2311,NSW,"Lewinsbrook, NSW, 2311"
Lewis Ponds,2800,NSW,"Lewis Ponds, NSW, 2800"
Lewisham,2049,NSW,"Lewisham, NSW, 2049"
Lewisham,7173,TAS,"Lewisham, TAS, 7173"
Lewiston,5501,SA,"Lewiston, SA, 5501"
Lexia,6079,WA,"Lexia, WA, 6079"
Lexton,3352,VIC,"Lexton, VIC, 3352"
Leyburn,4365,QLD,"Leyburn, QLD, 4365"
Leycester,2480,NSW,"Leycester, NSW, 2480"
Leydens Hill,4714,QLD,"Leydens Hill, QLD, 4714"
Liawenee,7030,TAS,"Liawenee, TAS, 7030"
Liberty Grove,2138,NSW,"Liberty Grove, NSW, 2138"
Licola,3858,VIC,"Licola, VIC, 3858"
Licola North,3858,VIC,"Licola North, VIC, 3858"
Lidcombe,2141,NSW,"Lidcombe, NSW, 2141"
Liddell,2333,NSW,"Liddell, NSW, 2333"
Lidsdale,2790,NSW,"Lidsdale, NSW, 2790"
Lidster,2800,NSW,"Lidster, NSW, 2800"
Liena,7304,TAS,"Liena, TAS, 7304"
Lietinna,7260,TAS,"Lietinna, TAS, 7260"
Liffey,7301,TAS,"Liffey, TAS, 7301"
Light Pass,5355,SA,"Light Pass, SA, 5355"
Lightning Ridge,2834,NSW,"Lightning Ridge, NSW, 2834"
Lightsview,5085,SA,"Lightsview, SA, 5085"
Lileah,7330,TAS,"Lileah, TAS, 7330"
Lilli Pilli,2229,NSW,"Lilli Pilli, NSW, 2229"
Lilli Pilli,2536,NSW,"Lilli Pilli, NSW, 2536"
Lillian Rock,2480,NSW,"Lillian Rock, NSW, 2480"
Lillico,3820,VIC,"Lillico, VIC, 3820"
Lillico,7310,TAS,"Lillico, TAS, 7310"
Lillicur,3371,VIC,"Lillicur, VIC, 3371"
Lillimur,3420,VIC,"Lillimur, VIC, 3420"
Lilliput,3682,VIC,"Lilliput, VIC, 3682"
Lilydale,2460,NSW,"Lilydale, NSW, 2460"
Lilydale,3140,VIC,"Lilydale, VIC, 3140"
Lilydale,4344,QLD,"Lilydale, QLD, 4344"
Lilydale,7268,TAS,"Lilydale, TAS, 7268"
Lilyfield,2040,NSW,"Lilyfield, NSW, 2040"
Lilyvale,2508,NSW,"Lilyvale, NSW, 2508"
Lilyvale,4352,QLD,"Lilyvale, QLD, 4352"
Lilyvale,4723,QLD,"Lilyvale, QLD, 4723"
Lilywood,4513,QLD,"Lilywood, QLD, 4513"
Lima,3673,VIC,"Lima, VIC, 3673"
Lima East,3673,VIC,"Lima East, VIC, 3673"
Lima South,3673,VIC,"Lima South, VIC, 3673"
Limbri,2352,NSW,"Limbri, NSW, 2352"
Lime Lake,6315,WA,"Lime Lake, WA, 6315"
Limeburners Creek,2324,NSW,"Limeburners Creek, NSW, 2324"
Limeburners Creek,2444,NSW,"Limeburners Creek, NSW, 2444"
Limekilns,2795,NSW,"Limekilns, NSW, 2795"
Limerick,2583,NSW,"Limerick, NSW, 2583"
Limestone,2361,NSW,"Limestone, NSW, 2361"
Limestone,3717,VIC,"Limestone, VIC, 3717"
Limestone,4714,QLD,"Limestone, QLD, 4714"
Limestone Creek,4701,QLD,"Limestone Creek, QLD, 4701"
Limestone Ridges,4305,QLD,"Limestone Ridges, QLD, 4305"
Limevale,4384,QLD,"Limevale, QLD, 4384"
Limmen,852,NT,"Limmen, NT, 852"
Limpinwood,2484,NSW,"Limpinwood, NSW, 2484"
Linburn,2850,NSW,"Linburn, NSW, 2850"
Lincoln,5606,SA,"Lincoln, SA, 5606"
Lincoln Gap,5715,SA,"Lincoln Gap, SA, 5715"
Lincoln National Park,5607,SA,"Lincoln National Park, SA, 5607"
Linden,2778,NSW,"Linden, NSW, 2778"
Linden,4490,QLD,"Linden, QLD, 4490"
Linden Park,5065,SA,"Linden Park, SA, 5065"
Lindendale,2480,NSW,"Lindendale, NSW, 2480"
Lindenow,3865,VIC,"Lindenow, VIC, 3865"
Lindenow South,3875,VIC,"Lindenow South, VIC, 3875"
Lindesay,2347,NSW,"Lindesay, NSW, 2347"
Lindesay Creek,2476,NSW,"Lindesay Creek, NSW, 2476"
Lindfield,2070,NSW,"Lindfield, NSW, 2070"
Lindifferon,2710,NSW,"Lindifferon, NSW, 2710"
Lindisfarne,7015,TAS,"Lindisfarne, TAS, 7015"
Lindley,5320,SA,"Lindley, SA, 5320"
Lindon,5731,SA,"Lindon, SA, 5731"
Lindsay,3312,VIC,"Lindsay, VIC, 3312"
Lindsay Point,3496,VIC,"Lindsay Point, VIC, 3496"
Linfarne,6258,WA,"Linfarne, WA, 6258"
Linga,3509,VIC,"Linga, VIC, 3509"
Linley Point,2066,NSW,"Linley Point, NSW, 2066"
Linthorpe,4356,QLD,"Linthorpe, QLD, 4356"
Linton,3360,VIC,"Linton, VIC, 3360"
Linville,4314,QLD,"Linville, QLD, 4314"
Linwood,5410,SA,"Linwood, SA, 5410"
Lionsville,2460,NSW,"Lionsville, NSW, 2460"
Liparoo,3549,VIC,"Liparoo, VIC, 3549"
Lipson,5607,SA,"Lipson, SA, 5607"
Lisarow,2250,NSW,"Lisarow, NSW, 2250"
Lismore,2480,NSW,"Lismore, NSW, 2480"
Lismore,3324,VIC,"Lismore, VIC, 3324"
Lismore Heights,2480,NSW,"Lismore Heights, NSW, 2480"
Liston,2372,NSW,"Liston, NSW, 2372"
Litchfield,3480,VIC,"Litchfield, VIC, 3480"
Litchfield Park,822,NT,"Litchfield Park, NT, 822"
Lithgow,2790,NSW,"Lithgow, NSW, 2790"
Little Back Creek,2474,NSW,"Little Back Creek, NSW, 2474"
Little Bay,2036,NSW,"Little Bay, NSW, 2036"
Little Billabong,2644,NSW,"Little Billabong, NSW, 2644"
Little Desert,3418,VIC,"Little Desert, VIC, 3418"
Little Douglas,5607,SA,"Little Douglas, SA, 5607"
Little Forest,2538,NSW,"Little Forest, NSW, 2538"
Little Grove,6330,WA,"Little Grove, WA, 6330"
Little Hampton,3458,VIC,"Little Hampton, VIC, 3458"
Little Hartley,2790,NSW,"Little Hartley, NSW, 2790"
Little Italy,6359,WA,"Little Italy, WA, 6359"
Little Jacks Creek,2339,NSW,"Little Jacks Creek, NSW, 2339"
Little Jilliby,2259,NSW,"Little Jilliby, NSW, 2259"
Little Mountain,4551,QLD,"Little Mountain, QLD, 4551"
Little Mulgrave,4865,QLD,"Little Mulgrave, QLD, 4865"
Little Pelican,2281,NSW,"Little Pelican, NSW, 2281"
Little Pine Lagoon,7140,TAS,"Little Pine Lagoon, TAS, 7140"
Little Plain,2360,NSW,"Little Plain, NSW, 2360"
Little River,2720,NSW,"Little River, NSW, 2720"
Little River,3211,VIC,"Little River, VIC, 3211"
Little Swanport,7190,TAS,"Little Swanport, TAS, 7190"
Little Topar,2880,NSW,"Little Topar, NSW, 2880"
Little Wobby,2256,NSW,"Little Wobby, NSW, 2256"
Littlehampton,5250,SA,"Littlehampton, SA, 5250"
Littleton,2790,NSW,"Littleton, NSW, 2790"
Liverpool,2170,NSW,"Liverpool, NSW, 2170"
Livingstone,822,NT,"Livingstone, NT, 822"
Llanarth,2795,NSW,"Llanarth, NSW, 2795"
Llanarth,4820,QLD,"Llanarth, QLD, 4820"
Llandilo,2747,NSW,"Llandilo, NSW, 2747"
Llanelly,3551,VIC,"Llanelly, VIC, 3551"
Llangothlin,2365,NSW,"Llangothlin, NSW, 2365"
Llowalong,3862,VIC,"Llowalong, VIC, 3862"
Lloyd,2650,NSW,"Lloyd, NSW, 2650"
Lloyd Creek,822,NT,"Lloyd Creek, NT, 822"
Loadstone,2474,NSW,"Loadstone, NSW, 2474"
Lobethal,5241,SA,"Lobethal, SA, 5241"
Loccota,7255,TAS,"Loccota, TAS, 7255"
Loch,3945,VIC,"Loch, VIC, 3945"
Loch Lomond,4370,QLD,"Loch Lomond, QLD, 4370"
